time,open,high,low,close,volume
1721631600000,3477.07000000,3477.07000000,3470.00000000,3473.16000000,536.30720000
1721631900000,3473.15000000,3474.49000000,3465.00000000,3470.00000000,1386.79750000
1721632200000,3470.00000000,3474.49000000,3469.03000000,3473.70000000,919.15280000
1721632500000,3473.70000000,3477.96000000,3469.25000000,3471.83000000,490.63710000
1721632800000,3471.84000000,3475.39000000,3471.70000000,3474.26000000,295.88720000
1721633100000,3474.26000000,3475.90000000,3469.35000000,3471.79000000,386.22730000
1721633400000,3471.79000000,3478.52000000,3469.81000000,3477.00000000,354.52030000
1721633700000,3477.01000000,3484.34000000,3477.00000000,3480.41000000,942.84950000
1721634000000,3480.41000000,3481.48000000,3477.82000000,3480.40000000,440.85320000
1721634300000,3480.40000000,3482.60000000,3478.74000000,3481.30000000,397.84290000
1721634600000,3481.30000000,3484.15000000,3480.05000000,3484.15000000,568.15740000
1721634900000,3484.15000000,3484.60000000,3477.06000000,3478.89000000,584.80130000
1721635200000,3478.90000000,3479.50000000,3474.27000000,3474.30000000,735.69250000
1721635500000,3474.30000000,3485.36000000,3472.15000000,3482.61000000,465.59460000
1721635800000,3482.61000000,3488.00000000,3481.60000000,3487.34000000,345.76120000
1721636100000,3487.34000000,3487.78000000,3483.21000000,3483.27000000,575.40420000
1721636400000,3483.26000000,3485.04000000,3482.86000000,3483.63000000,497.29290000
1721636700000,3483.62000000,3485.97000000,3481.00000000,3484.12000000,562.63070000
1721637000000,3484.12000000,3486.00000000,3481.00000000,3481.95000000,789.20600000
1721637300000,3481.96000000,3483.34000000,3479.99000000,3479.99000000,527.66740000
1721637600000,3480.00000000,3480.00000000,3477.89000000,3479.96000000,378.86650000
1721637900000,3479.96000000,3480.00000000,3472.58000000,3472.73000000,805.12910000
1721638200000,3472.73000000,3476.79000000,3470.17000000,3476.79000000,833.83660000
1721638500000,3476.80000000,3478.71000000,3474.88000000,3475.20000000,407.28770000
1721638800000,3475.21000000,3480.56000000,3469.00000000,3479.69000000,791.60880000
1721639100000,3479.69000000,3483.31000000,3478.80000000,3481.07000000,335.87720000
1721639400000,3481.07000000,3483.83000000,3480.48000000,3481.83000000,453.70930000
1721639700000,3481.84000000,3484.39000000,3481.30000000,3483.48000000,275.03560000
1721640000000,3483.49000000,3484.78000000,3481.07000000,3483.39000000,231.28070000
1721640300000,3483.40000000,3487.68000000,3483.39000000,3486.96000000,269.41620000
1721640600000,3486.95000000,3487.90000000,3481.41000000,3483.51000000,852.45390000
1721640900000,3483.51000000,3485.08000000,3481.00000000,3484.41000000,287.15290000
1721641200000,3484.41000000,3485.37000000,3483.01000000,3485.33000000,175.48280000
1721641500000,3485.33000000,3486.76000000,3480.25000000,3483.60000000,416.15650000
1721641800000,3483.61000000,3487.62000000,3482.66000000,3487.62000000,500.33700000
1721642100000,3487.62000000,3493.09000000,3487.61000000,3493.09000000,1107.38930000
1721642400000,3493.10000000,3494.38000000,3490.66000000,3492.21000000,284.96020000
1721642700000,3492.21000000,3492.81000000,3488.43000000,3490.86000000,267.32010000
1721643000000,3490.87000000,3492.38000000,3489.00000000,3490.21000000,231.64900000
1721643300000,3490.22000000,3497.80000000,3489.00000000,3494.47000000,384.21400000
1721643600000,3494.47000000,3497.62000000,3492.73000000,3497.54000000,651.87270000
1721643900000,3497.54000000,3499.28000000,3496.94000000,3497.60000000,412.70940000
1721644200000,3497.54000000,3497.54000000,3491.79000000,3493.80000000,241.06890000
1721644500000,3493.80000000,3494.91000000,3492.95000000,3493.09000000,163.50580000
1721644800000,3493.09000000,3493.99000000,3490.13000000,3492.33000000,288.89070000
1721645100000,3492.33000000,3492.33000000,3488.20000000,3491.85000000,303.93410000
1721645400000,3491.99000000,3494.12000000,3490.84000000,3490.85000000,159.02850000
1721645700000,3490.84000000,3492.71000000,3489.40000000,3492.25000000,182.08810000
1721646000000,3492.26000000,3493.73000000,3491.86000000,3492.71000000,170.56440000
1721646300000,3492.70000000,3492.71000000,3487.66000000,3488.09000000,279.56410000
1721646600000,3488.09000000,3490.46000000,3486.06000000,3488.47000000,549.37900000
1721646900000,3488.47000000,3489.53000000,3487.35000000,3489.53000000,293.35310000
1721647200000,3489.53000000,3490.59000000,3488.45000000,3488.45000000,139.49510000
1721647500000,3488.45000000,3491.17000000,3486.22000000,3491.17000000,274.36690000
1721647800000,3491.17000000,3496.36000000,3490.85000000,3496.36000000,434.02630000
1721648100000,3496.36000000,3496.62000000,3493.00000000,3495.47000000,435.31330000
1721648400000,3495.47000000,3497.59000000,3495.17000000,3495.46000000,274.25920000
1721648700000,3495.46000000,3500.00000000,3495.45000000,3498.53000000,489.65740000
1721649000000,3498.54000000,3500.75000000,3497.60000000,3499.29000000,379.04840000
1721649300000,3499.28000000,3503.85000000,3497.46000000,3500.31000000,432.50190000
1721649600000,3500.30000000,3501.96000000,3495.10000000,3495.62000000,442.14210000
1721649900000,3495.62000000,3497.58000000,3494.42000000,3494.42000000,251.08080000
1721650200000,3494.43000000,3495.63000000,3492.19000000,3493.90000000,186.76740000
1721650500000,3493.91000000,3498.72000000,3493.62000000,3498.72000000,417.08410000
1721650800000,3498.72000000,3507.35000000,3498.72000000,3504.94000000,1452.84250000
1721651100000,3504.93000000,3505.51000000,3501.26000000,3501.77000000,624.25230000
1721651400000,3501.77000000,3505.67000000,3501.10000000,3503.06000000,570.16840000
1721651700000,3503.07000000,3505.64000000,3502.00000000,3505.36000000,359.81620000
1721652000000,3505.36000000,3505.90000000,3496.91000000,3498.65000000,551.97900000
1721652300000,3498.66000000,3501.19000000,3496.43000000,3500.51000000,238.04810000
1721652600000,3500.40000000,3500.79000000,3497.01000000,3499.81000000,429.63350000
1721652900000,3499.82000000,3499.82000000,3496.27000000,3498.59000000,483.23920000
1721653200000,3498.60000000,3505.03000000,3495.59000000,3501.27000000,793.38120000
1721653500000,3501.26000000,3506.00000000,3500.73000000,3505.00000000,641.48320000
1721653800000,3505.00000000,3505.72000000,3495.00000000,3495.99000000,996.65000000
1721654100000,3495.99000000,3496.31000000,3489.93000000,3493.05000000,1094.12180000
1721654400000,3493.05000000,3495.56000000,3491.85000000,3492.00000000,356.90860000
1721654700000,3491.97000000,3493.40000000,3487.39000000,3487.40000000,423.93220000
1721655000000,3487.40000000,3494.93000000,3483.66000000,3493.61000000,1016.95960000
1721655300000,3493.62000000,3505.39000000,3493.62000000,3496.44000000,1218.93290000
1721655600000,3496.45000000,3501.44000000,3477.17000000,3482.65000000,1875.75660000
1721655900000,3482.65000000,3483.71000000,3468.70000000,3472.73000000,3285.05220000
1721656200000,3472.73000000,3476.52000000,3466.66000000,3471.35000000,1599.61480000
1721656500000,3471.38000000,3471.39000000,3462.67000000,3466.99000000,1434.26150000
1721656800000,3466.99000000,3473.72000000,3461.56000000,3468.76000000,1279.57790000
1721657100000,3468.76000000,3474.92000000,3468.01000000,3471.68000000,961.37260000
1721657400000,3471.68000000,3477.77000000,3471.05000000,3477.04000000,490.08690000
1721657700000,3477.04000000,3477.76000000,3464.27000000,3469.81000000,1495.52040000
1721658000000,3469.81000000,3473.70000000,3455.03000000,3459.47000000,2060.43790000
1721658300000,3459.47000000,3459.78000000,3453.81000000,3456.96000000,1532.38650000
1721658600000,3456.97000000,3458.51000000,3447.09000000,3450.90000000,2148.45010000
1721658900000,3450.90000000,3458.66000000,3444.01000000,3458.66000000,2133.41470000
1721659200000,3458.67000000,3461.05000000,3450.00000000,3450.32000000,2388.05570000
1721659500000,3450.31000000,3452.72000000,3446.14000000,3447.01000000,1637.44570000
1721659800000,3447.01000000,3452.36000000,3444.44000000,3450.77000000,1291.00660000
1721660100000,3450.77000000,3453.12000000,3443.70000000,3448.77000000,2061.39440000
1721660400000,3448.76000000,3455.56000000,3444.14000000,3452.08000000,1176.95480000
1721660700000,3452.08000000,3452.44000000,3435.60000000,3436.80000000,2097.46360000
1721661000000,3436.81000000,3451.85000000,3436.81000000,3449.36000000,1092.67260000
1721661300000,3449.36000000,3454.17000000,3447.09000000,3451.00000000,1043.84860000
1721661600000,3450.99000000,3455.56000000,3446.33000000,3447.93000000,1061.38360000
1721661900000,3447.93000000,3455.02000000,3445.88000000,3451.08000000,457.73310000
1721662200000,3451.09000000,3458.55000000,3450.50000000,3458.55000000,483.72950000
1721662500000,3458.55000000,3464.40000000,3456.28000000,3462.01000000,903.89180000
1721662800000,3462.01000000,3462.79000000,3454.41000000,3458.28000000,824.97460000
1721663100000,3458.28000000,3465.91000000,3457.00000000,3464.11000000,643.52380000
1721663400000,3464.12000000,3466.40000000,3460.63000000,3460.63000000,923.25360000
1721663700000,3460.64000000,3462.40000000,3455.73000000,3457.15000000,556.09920000
1721664000000,3457.15000000,3458.57000000,3450.00000000,3454.53000000,681.23050000
1721664300000,3454.68000000,3458.26000000,3452.61000000,3458.15000000,550.13160000
1721664600000,3458.15000000,3463.62000000,3458.14000000,3460.96000000,347.06760000
1721664900000,3460.95000000,3462.80000000,3459.96000000,3461.41000000,281.32850000
1721665200000,3461.41000000,3461.42000000,3456.31000000,3456.33000000,304.73750000
1721665500000,3456.33000000,3456.39000000,3450.00000000,3452.59000000,823.21340000
1721665800000,3452.59000000,3452.78000000,3444.86000000,3449.20000000,696.55560000
1721666100000,3449.20000000,3454.01000000,3448.74000000,3453.25000000,347.91810000
1721666400000,3453.25000000,3460.97000000,3452.57000000,3460.96000000,554.38330000
1721666700000,3460.97000000,3471.52000000,3458.90000000,3458.90000000,1363.74910000
1721667000000,3458.91000000,3462.32000000,3455.59000000,3458.44000000,810.06410000
1721667300000,3458.44000000,3460.00000000,3452.78000000,3453.57000000,324.11430000
1721667600000,3453.58000000,3454.59000000,3450.02000000,3450.65000000,817.75410000
1721667900000,3450.66000000,3456.78000000,3450.66000000,3454.85000000,341.08640000
1721668200000,3454.85000000,3456.45000000,3453.75000000,3454.44000000,459.87650000
1721668500000,3454.44000000,3460.00000000,3454.00000000,3459.42000000,501.51320000
1721668800000,3459.42000000,3460.97000000,3457.40000000,3460.26000000,462.53730000
1721669100000,3460.27000000,3464.01000000,3459.46000000,3461.88000000,1114.58130000
1721669400000,3461.87000000,3467.31000000,3460.67000000,3466.28000000,596.73230000
1721669700000,3466.29000000,3471.60000000,3464.66000000,3470.01000000,890.30670000
1721670000000,3470.02000000,3470.44000000,3466.80000000,3467.09000000,317.17180000
1721670300000,3467.08000000,3468.84000000,3465.22000000,3468.40000000,310.80090000
1721670600000,3468.40000000,3470.18000000,3467.68000000,3468.33000000,305.18590000
1721670900000,3468.33000000,3470.60000000,3467.60000000,3470.59000000,374.09150000
1721671200000,3470.60000000,3476.93000000,3469.34000000,3476.86000000,795.37160000
1721671500000,3476.85000000,3479.25000000,3471.28000000,3479.25000000,579.14090000
1721671800000,3479.25000000,3479.47000000,3471.47000000,3472.82000000,814.15550000
1721672100000,3472.83000000,3472.90000000,3468.06000000,3471.75000000,612.31280000
1721672400000,3471.75000000,3471.75000000,3465.09000000,3469.86000000,297.24680000
1721672700000,3469.86000000,3471.35000000,3466.34000000,3467.34000000,259.16070000
1721673000000,3467.33000000,3469.94000000,3463.93000000,3469.28000000,643.14480000
1721673300000,3469.28000000,3475.43000000,3467.64000000,3470.55000000,562.52020000
1721673600000,3470.55000000,3472.79000000,3470.54000000,3471.72000000,358.99270000
1721673900000,3471.72000000,3475.67000000,3470.61000000,3472.20000000,610.91260000
1721674200000,3472.21000000,3478.00000000,3472.21000000,3476.18000000,470.08180000
1721674500000,3476.17000000,3476.18000000,3472.16000000,3472.80000000,415.28460000
1721674800000,3472.81000000,3473.74000000,3468.40000000,3472.04000000,503.97570000
1721675100000,3472.00000000,3476.42000000,3470.60000000,3476.41000000,390.09600000
1721675400000,3476.42000000,3482.37000000,3475.80000000,3480.59000000,701.53740000
1721675700000,3480.59000000,3485.59000000,3477.64000000,3477.64000000,426.71590000
1721676000000,3477.64000000,3480.60000000,3476.87000000,3478.83000000,404.07660000
1721676300000,3478.84000000,3480.00000000,3476.30000000,3479.01000000,181.92260000
1721676600000,3479.01000000,3485.73000000,3476.41000000,3483.41000000,470.12670000
1721676900000,3483.40000000,3486.00000000,3482.56000000,3486.00000000,592.12180000
1721677200000,3486.00000000,3489.00000000,3485.40000000,3486.52000000,273.91850000
1721677500000,3486.52000000,3494.86000000,3486.52000000,3493.99000000,1265.26750000
1721677800000,3493.98000000,3498.00000000,3492.00000000,3492.01000000,826.47550000
1721678100000,3492.01000000,3498.63000000,3491.90000000,3498.14000000,536.56910000
1721678400000,3498.18000000,3499.53000000,3487.16000000,3491.35000000,655.66710000
1721678700000,3491.36000000,3492.46000000,3486.79000000,3487.90000000,321.24750000
1721679000000,3487.90000000,3495.76000000,3487.75000000,3493.71000000,605.86360000
1721679300000,3493.71000000,3494.11000000,3484.00000000,3487.76000000,610.53400000
1721679600000,3487.75000000,3489.40000000,3484.30000000,3484.59000000,275.30740000
1721679900000,3484.59000000,3487.40000000,3482.88000000,3482.88000000,423.90280000
1721680200000,3482.89000000,3486.00000000,3481.11000000,3481.12000000,440.07030000
1721680500000,3481.12000000,3486.94000000,3481.11000000,3485.44000000,575.58470000
1721680800000,3485.45000000,3488.19000000,3484.61000000,3486.05000000,1345.07870000
1721681100000,3486.05000000,3488.59000000,3482.85000000,3485.42000000,475.17280000
1721681400000,3485.42000000,3494.23000000,3479.13000000,3480.58000000,2811.35700000
1721681700000,3480.58000000,3489.16000000,3477.48000000,3489.15000000,694.99900000
1721682000000,3489.16000000,3489.79000000,3479.24000000,3481.48000000,470.35950000
1721682300000,3481.48000000,3482.08000000,3469.69000000,3469.70000000,972.12210000
1721682600000,3469.69000000,3473.18000000,3461.09000000,3467.53000000,2368.66620000
1721682900000,3467.53000000,3472.54000000,3462.09000000,3462.09000000,565.74210000
1721683200000,3462.05000000,3462.08000000,3446.08000000,3451.00000000,3008.97140000
1721683500000,3451.00000000,3458.60000000,3450.01000000,3458.60000000,806.36490000
1721683800000,3458.60000000,3458.80000000,3451.81000000,3455.81000000,539.33410000
1721684100000,3455.80000000,3467.03000000,3455.40000000,3467.02000000,708.38850000
1721684400000,3467.02000000,3467.03000000,3461.45000000,3464.36000000,504.49580000
1721684700000,3464.37000000,3468.12000000,3464.11000000,3464.11000000,550.32660000
1721685000000,3464.01000000,3464.01000000,3456.46000000,3457.85000000,411.72520000
1721685300000,3457.84000000,3461.79000000,3457.84000000,3461.51000000,290.38840000
1721685600000,3461.52000000,3462.52000000,3449.65000000,3454.04000000,1025.50280000
1721685900000,3454.04000000,3454.04000000,3445.00000000,3446.71000000,1113.70290000
1721686200000,3446.72000000,3450.00000000,3439.00000000,3447.99000000,1056.94730000
